Year,Race,Sex,Age,Pop
2001,W,M,75-79,133371
2001,AI,F,80-84,306
2001,API,F,80-84,1682
2001,B,F,80-84,13944
2001,W,F,80-84,135119
2001,AI,M,80-84,189
2001,API,M,80-84,1200
2001,B,M,80-84,7459
2001,W,M,80-84,82119
2001,AI,F,85+,269
2001,API,F,85+,1201
2001,B,F,85+,14709
2001,W,F,85+,132728
2001,AI,M,85+,113
2001,API,M,85+,713
2001,B,M,85+,5538
2001,W,M,85+,52126
2002,AI,F,20-24,3264
2002,API,F,20-24,28360
2002,B,F,20-24,103085
2002,W,F,20-24,357438
2002,AI,M,20-24,3391
2002,API,M,20-24,29503
2002,B,M,20-24,101427
2002,W,M,20-24,363755
2002,AI,F,25-29,2838
2002,API,F,25-29,35621
2002,B,F,25-29,94860
2002,W,F,25-29,332195
2002,AI,M,25-29,2923
2002,API,M,25-29,35392
2002,B,M,25-29,87525
2002,W,M,25-29,334956
2002,AI,F,30-34,3009
2002,API,F,30-34,36679
2002,B,F,30-34,100894
2002,W,F,30-34,379676
2002,AI,M,30-34,3132
2002,API,M,30-34,35884
2002,B,M,30-34,92763
2002,W,M,30-34,388011
